witness	metabolite	name	compartment	formula	charge	contributions_excluding_D	net_excluding_D	D_contribution	total_residual
E3	m10[C_cy]	H+_p+1	C_cy	H	1	"{""R284"": 2.0000000000000004, ""R1161"": -0.3333333333333334, ""R_NDP1"": -1.6666666666666667}"	2.7755575615628914e-16	0.0	2.7755575615628914e-16
E3	m32[C_cy]	H2O_H2O	C_cy	H2O	0	"{""R72"": 0.3333333333333334, ""R284"": -1.0000000000000002, ""R_NDP1"": 1.6666666666666667}"	1.0	-1.0	0.0
E3	m35[C_cy]	phosphate_H3O4P	C_cy	H3O4P	0	"{""R72"": -0.3333333333333334, ""R284"": 1.0000000000000002, ""R_NDP1"": -1.6666666666666667}"	-1.0	1.0	0.0
E3	m86[C_cy]	AMP_C10H14N5O7P	C_cy	C10H14N5O7P	0	"{""R121"": 1.6666666666666667, ""R_NDP1"": -1.6666666666666667}"	0.0	0.0	0.0
E3	m140[C_cy]	myo-inositol hexakisphosphate_C6H18O24P6	C_cy	C6H18O24P6	0	"{""R72"": -0.3333333333333334, ""R1177"": 0.3333333333333334}"	0.0	0.0	0.0
E3	m141[C_cy]	ATP_C10H16N5O13P3	C_cy	C10H16N5O13P3	0	"{""R73"": -0.3333333333333334, ""R121"": 1.6666666666666667, ""R1021"": -0.3333333333333334}"	0.9999999999999999	-1.0	-1.1102230246251565e-16
E3	m143[C_cy]	ADP_C10H15N5O10P2	C_cy	C10H15N5O10P2	0	"{""R73"": 0.3333333333333334, ""R121"": -3.3333333333333335, ""R1008"": 0.3333333333333334, ""R_NDP1"": 1.6666666666666667}"	-0.9999999999999999	1.0	1.1102230246251565e-16
E3	m165[C_cy]	5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate_C6H20O30P8	C_cy	C6H20O30P8	0	"{""R73"": 0.3333333333333334, ""R284"": -0.3333333333333334}"	0.0	0.0	0.0
E3	m170[C_cy]	6-diphospho-1D-myo-inositol pentakisphosphate_C6H19O27P7	C_cy	C6H19O27P7	0	"{""R72"": 0.3333333333333334, ""R73"": -0.3333333333333334}"	0.0	0.0	0.0
E3	m206[C_nu]	ATP_C10H16N5O13P3	C_nu	C10H16N5O13P3	0	"{""R422"": -0.3333333333333334, ""R1021"": 0.3333333333333334}"	0.0	0.0	0.0
E3	m496[C_cy]	myo-inositol 1,3,4,5,6-pentakisphosphate	C_cy		0	"{""R284"": 0.3333333333333334, ""R952"": -0.3333333333333334}"	0.0	0.0	0.0
E3	m627[C_nu]	H+_p+1	C_nu	H	1	"{""R422"": -0.3333333333333334, ""R1161"": 0.3333333333333334}"	0.0	0.0	0.0
E3	m656[C_nu]	myo-inositol 1,3,4,5,6-pentakisphosphate	C_nu		0	"{""R422"": -0.3333333333333334, ""R952"": 0.3333333333333334}"	0.0	0.0	0.0
E3	m657[C_nu]	ADP_C10H15N5O10P2	C_nu	C10H15N5O10P2	0	"{""R422"": 0.3333333333333334, ""R1008"": -0.3333333333333334}"	0.0	0.0	0.0
E3	m658[C_nu]	myo-inositol hexakisphosphate_C6H18O24P6	C_nu	C6H18O24P6	0	"{""R422"": 0.3333333333333334, ""R1177"": -0.3333333333333334}"	0.0	0.0	0.0
E4	m2[C_mi]	ferricytochrome c_	C_mi	C42H52FeN8O6S2	1	"{""R304"": 1.5384615384615383, ""R305"": -1.5384615384615383}"	0.0	0.0	0.0
E4	m3[C_mi]	ferrocytochrome c_	C_mi	C42H52FeN8O6S2	0	"{""R304"": -1.5384615384615383, ""R305"": 1.5384615384615383}"	0.0	0.0	0.0
E4	m6[C_mi]	pyruvate_C3H4O3	C_mi	C3H4O3	0	"{""R538"": 2.3076923076923075, ""R_OAADCm"": -2.3076923076923075}"	0.0	0.0	0.0
E4	m10[C_cy]	H+_p+1	C_cy	H	1	"{""R171"": -4.0, ""R304"": 0.7692307692307692, ""R305"": 1.1538461538461537, ""R915"": -0.9999999999999996, ""R1889"": 3.0769230769230766}"	0.0	0.0	0.0
E4	m26[C_mi]	H2O_H2O	C_mi	H2O	0	"{""R171"": 1.0, ""R304"": 0.7692307692307692, ""R1360"": -1.7692307692307692}"	0.0	0.0	0.0
E4	m27[C_mi]	NAD_C21H27N7O14P2	C_mi	C21H27N7O14P2	0	"{""R132"": -0.7692307692307692, ""R533"": 2.3076923076923075, ""R538"": -2.3076923076923075, ""R1889"": 0.7692307692307692}"	0.0	0.0	0.0
E4	m28[C_mi]	H+_p+1	C_mi	H	1	"{""R171"": 4.0, ""R304"": -2.3076923076923075, ""R305"": -1.1538461538461537, ""R915"": 0.9999999999999996, ""R1889"": -3.846153846153846, ""R_OAADCm"": 2.3076923076923075}"	0.0	0.0	0.0
E4	m30[C_mi]	NADH_C21H29N7O14P2	C_mi	C21H29N7O14P2	0	"{""R132"": 0.7692307692307692, ""R533"": -2.3076923076923075, ""R538"": 2.3076923076923075, ""R1889"": -0.7692307692307692}"	0.0	0.0	0.0
E4	m32[C_cy]	H2O_H2O	C_cy	H2O	0	"{""R1360"": 1.7692307692307692, ""R1362"": -0.7692307692307692}"	1.0	-1.0	0.0
E4	m35[C_cy]	phosphate_H3O4P	C_cy	H3O4P	0	"{""R915"": -0.9999999999999996}"	-0.9999999999999996	1.0	4.440892098500626e-16
E4	m44[C_mi]	carbon dioxide_CO2	C_mi	CO2	0	"{""R538"": 2.3076923076923075, ""R_OAADCm"": -2.3076923076923075}"	0.0	0.0	0.0
E4	m46[C_mi]	ATP_C10H16N5O13P3	C_mi	C10H16N5O13P3	0	"{""R171"": 1.0, ""R815"": -1.0}"	0.0	0.0	0.0
E4	m58[C_mi]	phosphate_H3O4P	C_mi	H3O4P	0	"{""R171"": -1.0, ""R915"": 0.9999999999999996}"	-4.440892098500626e-16	0.0	-4.440892098500626e-16
E4	m64[C_mi]	oxygen_O2	C_mi	O2	0	"{""R304"": -0.3846153846153846, ""R1277"": 0.3846153846153846}"	0.0	0.0	0.0
E4	m77[C_mi]	oxaloacetate_C4H4O5	C_mi	C4H4O5	0	"{""R533"": -2.3076923076923075, ""R_OAADCm"": 2.3076923076923075}"	0.0	0.0	0.0
E4	m109[C_cy]	oxygen_O2	C_cy	O2	0	"{""R1277"": -0.3846153846153846, ""R1279"": 0.3846153846153846}"	0.0	0.0	0.0
E4	m141[C_cy]	ATP_C10H16N5O13P3	C_cy	C10H16N5O13P3	0	"{""R815"": 1.0}"	1.0	-1.0	0.0
E4	m143[C_cy]	ADP_C10H15N5O10P2	C_cy	C10H15N5O10P2	0	"{""R815"": -1.0}"	-1.0	1.0	0.0
E4	m173[C_cy]	acetaldehyde_C2H4O	C_cy	C2H4O	0	"{""R997"": 0.7692307692307692, ""R_CAT2p"": -0.7692307692307692}"	0.0	0.0	0.0
E4	m197[C_mi]	ADP_C10H15N5O10P2	C_mi	C10H15N5O10P2	0	"{""R171"": -1.0, ""R815"": 1.0}"	0.0	0.0	0.0
E4	m221[C_pe]	oxygen_O2	C_pe	O2	0	"{""R195"": 0.3846153846153846, ""R1279"": -0.3846153846153846}"	0.0	0.0	0.0
E4	m222[C_pe]	hydrogen peroxide_H2O2	C_pe	H2O2	0	"{""R195"": -0.7692307692307692, ""R_CAT2p"": 0.7692307692307692}"	0.0	0.0	0.0
E4	m275[C_cy]	ethanol_C2H6O	C_cy	C2H6O	0	"{""R1114"": -0.7692307692307692, ""R_CAT2p"": 0.7692307692307692}"	0.0	0.0	0.0
E4	m278[C_mi]	acetaldehyde_C2H4O	C_mi	C2H4O	0	"{""R132"": 0.7692307692307692, ""R997"": -0.7692307692307692}"	0.0	0.0	0.0
E4	m279[C_mi]	ethanol_C2H6O	C_mi	C2H6O	0	"{""R132"": -0.7692307692307692, ""R1114"": 0.7692307692307692}"	0.0	0.0	0.0
E4	m375[C_pe]	H2O_H2O	C_pe	H2O	0	"{""R195"": 0.7692307692307692, ""R1362"": 0.7692307692307692, ""R_CAT2p"": -1.5384615384615383}"	0.0	0.0	0.0
E4	m468[C_mi]	ubiquinone-9_C54H82O4	C_mi	C54H82O4	0	"{""R305"": 0.7692307692307692, ""R1889"": -0.7692307692307692}"	0.0	0.0	0.0
E4	m471[C_mi]	ubiquinol-9_C54H84O4	C_mi	C54H84O4	0	"{""R305"": -0.7692307692307692, ""R1889"": 0.7692307692307692}"	0.0	0.0	0.0
E4	m538[C_mi]	(S)-malate_C4H6O5	C_mi	C4H6O5	0	"{""R533"": 2.3076923076923075, ""R538"": -2.3076923076923075}"	0.0	0.0	0.0
