reaction	name	equation	named_equation	stoichiometry	bounds	compartments	gpr	gpr_evidence	annotation	notes	element_status	missing_formula	element_residual	stored_charge_residual	charge_status	witness	flux	actual_direction
R72	6PP-IP5 depyrophosphorylation to IP6	m170[C_cy] + m32[C_cy] <=> m140[C_cy] + m35[C_cy]	6-diphospho-1D-myo-inositol pentakisphosphate_C6H19O27P7 + H2O_H2O <=> myo-inositol hexakisphosphate_C6H18O24P6 + phosphate_H3O4P	"{""m32[C_cy]"": -1.0, ""m170[C_cy]"": -1.0, ""m35[C_cy]"": 1.0, ""m140[C_cy]"": 1.0}"	[-1000.0, 1000.0]	"[""C_cy""]"	YALI1B17927g or YALI1A04817g	stored model assignment; not native validation	"{""sbo"": ""SBO:0000176"", ""ec-code"": ""2.7.4.24""}"	"{""PROTEIN_CLASS"": ""3.6.1.52""}"	balanced	[]	"{""H"": 0.0, ""O"": 0.0, ""C"": 0.0, ""P"": 0.0}"	0.0	balanced_as_stored	E3	-0.3333333333333334	reverse
R73	6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4	m141[C_cy] + m170[C_cy] --> m143[C_cy] + m165[C_cy]	ATP_C10H16N5O13P3 + 6-diphospho-1D-myo-inositol pentakisphosphate_C6H19O27P7 --> ADP_C10H15N5O10P2 + 5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate_C6H20O30P8	"{""m141[C_cy]"": -1.0, ""m170[C_cy]"": -1.0, ""m143[C_cy]"": 1.0, ""m165[C_cy]"": 1.0}"	[0.0, 1000.0]	"[""C_cy""]"	YALI1F18897g	stored model assignment; not native validation	"{""sbo"": ""SBO:0000176"", ""bigg.reaction"": [""PMI1346PS"", ""R_PMI1346PS""], ""metanetx.reaction"": ""MNXR138712"", ""ec-code"": ""2.7.-.-"", ""biggr"": [""PMI1346PS"", ""R_PMI1346PS""]}"	{}	balanced	[]	"{""C"": 0.0, ""H"": 0.0, ""N"": 0.0, ""O"": 0.0, ""P"": 0.0}"	0.0	balanced_as_stored	E3	0.3333333333333334	forward
R121	adenylate kinase	m141[C_cy] + m86[C_cy] <=> 2.0 m143[C_cy]	ATP_C10H16N5O13P3 + AMP_C10H14N5O7P <=> 2.0 ADP_C10H15N5O10P2	"{""m86[C_cy]"": -1.0, ""m141[C_cy]"": -1.0, ""m143[C_cy]"": 2.0}"	[-1000.0, 1000.0]	"[""C_cy""]"	YALI1B01136g or YALI1B29895g	stored model assignment; not native validation	"{""sbo"": ""SBO:0000176"", ""bigg.reaction"": [""ADK1"", ""ADK1g"", ""ADK1m"", ""ATAMh"", ""R_ADK1"", ""R_ADK1g"", ""R_ADK1m"", ""R_ATAMh""], ""kegg.reaction"": ""R00127"", ""metacyc.reaction"": ""ADENYL-KIN-RXN"", ""rh"": [""12973"", ""12974"", ""12975"", ""12976""], ""rhea"": [""12973"", ""12974"", ""12975"", ""12976""], ""sabiork.reaction"": ""82"", ""seed.reaction"": [""rxn00097"", ""rxn27684"", ""rxn27685"", ""rxn11199""], ""vmhreaction"": [""ADK1"", ""ADK1m"", ""R_ADK1"", ""R_ADK1m""], ""metanetx.reaction"": ""MNXR95450"", ""ec-code"": ""2.7.4.3"", ""biggr"": [""ADK1"", ""ADK1g"", ""ADK1m"", ""ATAMh"", ""R_ADK1"", ""R_ADK1g"", ""R_ADK1m"", ""R_ATAMh""], ""keggr"": ""R00127"", ""metacycr"": ""ADENYL-KIN-RXN"", ""sabiorkr"": ""82"", ""seedr"": [""rxn00097"", ""rxn27684"", ""rxn27685"", ""rxn11199""], ""vmhr"": [""ADK1"", ""ADK1m"", ""R_ADK1"", ""R_ADK1m""]}"	{}	balanced	[]	"{""C"": 0.0, ""H"": 0.0, ""N"": 0.0, ""O"": 0.0, ""P"": 0.0}"	0.0	balanced_as_stored	E3	-1.6666666666666667	reverse
R284	diphosphoinositol-1,3,4,6-tetrakisphosphate diphosphohydrolase	m165[C_cy] + 3.0 m32[C_cy] --> 6.0 m10[C_cy] + 3.0 m35[C_cy] + m496[C_cy]	5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate_C6H20O30P8 + 3.0 H2O_H2O --> 6.0 H+_p+1 + 3.0 phosphate_H3O4P + myo-inositol 1,3,4,5,6-pentakisphosphate	"{""m32[C_cy]"": -3.0, ""m165[C_cy]"": -1.0, ""m10[C_cy]"": 6.0, ""m35[C_cy]"": 3.0, ""m496[C_cy]"": 1.0}"	[0.0, 1000.0]	"[""C_cy""]"	YALI1A04817g	stored model assignment; not native validation	"{""sbo"": ""SBO:0000176"", ""seed.reaction"": ""rxn13386"", ""metanetx.reaction"": ""MNXR142533"", ""seedr"": ""rxn13386""}"	{}	unverifiable	"[""m496[C_cy]""]"		6.0	imbalanced	E3	0.3333333333333334	forward
R422	inositol-1,3,4,5,6-pentakisphosphate 2-kinase	m206[C_nu] + m627[C_nu] + m656[C_nu] --> m657[C_nu] + m658[C_nu]	ATP_C10H16N5O13P3 + H+_p+1 + myo-inositol 1,3,4,5,6-pentakisphosphate --> ADP_C10H15N5O10P2 + myo-inositol hexakisphosphate_C6H18O24P6	"{""m206[C_nu]"": -1.0, ""m627[C_nu]"": -1.0, ""m656[C_nu]"": -1.0, ""m657[C_nu]"": 1.0, ""m658[C_nu]"": 1.0}"	[0.0, 1000.0]	"[""C_nu""]"	YALI1E08530g	stored model assignment; not native validation	"{""sbo"": ""SBO:0000176"", ""bigg.reaction"": [""IPKK"", ""MI13456PK"", ""MI13456PKn"", ""R_IPKK"", ""R_MI13456PK"", ""R_MI13456PKn""], ""kegg.reaction"": ""R05202"", ""metacyc.reaction"": ""RXN-7163"", ""rh"": [""20313"", ""20314"", ""20315"", ""20316""], ""rhea"": [""20313"", ""20314"", ""20315"", ""20316""], ""sabiork.reaction"": ""4813"", ""seed.reaction"": [""rxn03519"", ""rxn30408""], ""vmhreaction"": [""MI13456PK"", ""R_MI13456PK""], ""metanetx.reaction"": ""MNXR192570"", ""ec-code"": ""2.7.1.158"", ""biggr"": [""IPKK"", ""MI13456PK"", ""MI13456PKn"", ""R_IPKK"", ""R_MI13456PK"", ""R_MI13456PKn""], ""keggr"": ""R05202"", ""metacycr"": ""RXN-7163"", ""sabiorkr"": ""4813"", ""seedr"": [""rxn03519"", ""rxn30408""], ""vmhr"": [""MI13456PK"", ""R_MI13456PK""]}"	"{""PROTEIN_CLASS"": ""2.7.1.158""}"	unverifiable	"[""m656[C_nu]""]"		-1.0	imbalanced	E3	0.3333333333333334	forward
R952	1D-myo-inositol 1,3,4,5,6-pentakisphosphate diffusion	m496[C_cy] <=> m656[C_nu]	myo-inositol 1,3,4,5,6-pentakisphosphate <=> myo-inositol 1,3,4,5,6-pentakisphosphate	"{""m496[C_cy]"": -1.0, ""m656[C_nu]"": 1.0}"	[-1000.0, 1000.0]	"[""C_cy"", ""C_nu""]"		stored model assignment; not native validation	"{""sbo"": ""SBO:0000185""}"	{}	unverifiable	"[""m496[C_cy]"", ""m656[C_nu]""]"		0.0	balanced_as_stored	E3	0.3333333333333334	forward
R1008	ADP transport	m143[C_cy] <=> m657[C_nu]	ADP_C10H15N5O10P2 <=> ADP_C10H15N5O10P2	"{""m143[C_cy]"": -1.0, ""m657[C_nu]"": 1.0}"	[-1000.0, 1000.0]	"[""C_cy"", ""C_nu""]"		stored model assignment; not native validation	"{""sbo"": ""SBO:0000185"", ""bigg.reaction"": [""ADPtc"", ""ADPtx"", ""ATPt_m"", ""EX_adp_e"", ""R_ADPtc"", ""R_ADPtx"", ""R_ATPt_m"", ""R_EX_adp_e"", ""R_SK_adp_c"", ""SK_adp_c""], ""rh"": [""75783"", ""75784"", ""75785"", ""75786""], ""rhea"": [""75783"", ""75784"", ""75785"", ""75786""], ""sabiork.reaction"": ""14415"", ""seed.reaction"": [""rxn29320"", ""rxn31159"", ""rxn31177"", ""rxn32016"", ""rxn32017""], ""vmhreaction"": [""ADPtx"", ""HMR_9018"", ""R_ADPtx"", ""R_HMR_9018""], ""metanetx.reaction"": ""MNXR95484"", ""biggr"": [""ADPtc"", ""ADPtx"", ""ATPt_m"", ""EX_adp_e"", ""R_ADPtc"", ""R_ADPtx"", ""R_ATPt_m"", ""R_EX_adp_e"", ""R_SK_adp_c"", ""SK_adp_c""], ""sabiorkr"": ""14415"", ""seedr"": [""rxn29320"", ""rxn31159"", ""rxn31177"", ""rxn32016"", ""rxn32017""], ""vmhr"": [""ADPtx"", ""HMR_9018"", ""R_ADPtx"", ""R_HMR_9018""]}"	{}	balanced	[]	"{""C"": 0.0, ""H"": 0.0, ""N"": 0.0, ""O"": 0.0, ""P"": 0.0}"	0.0	balanced_as_stored	E3	-0.3333333333333334	reverse
R1021	ATP diffusion	m141[C_cy] <=> m206[C_nu]	ATP_C10H16N5O13P3 <=> ATP_C10H16N5O13P3	"{""m141[C_cy]"": -1.0, ""m206[C_nu]"": 1.0}"	[-1000.0, 1000.0]	"[""C_cy"", ""C_nu""]"		stored model assignment; not native validation	"{""sbo"": ""SBO:0000185"", ""bigg.reaction"": [""ATP2t_m"", ""ATPtc"", ""ATPtn"", ""ATPtx"", ""DM_atp_c"", ""EX_atp_e"", ""R_ATP2t_m"", ""R_ATPtc"", ""R_ATPtn"", ""R_ATPtx"", ""R_DM_atp_c"", ""R_EX_atp_e"", ""R_r1116"", ""r1116""], ""metacyc.reaction"": ""RXN-14913"", ""rh"": [""75687"", ""75688"", ""75689"", ""75690""], ""rhea"": [""75687"", ""75688"", ""75689"", ""75690""], ""sabiork.reaction"": ""13978"", ""seed.reaction"": [""rxn29318"", ""rxn31158"", ""rxn31176"", ""rxn31193"", ""rxn32746""], ""vmhreaction"": [""ATPtn"", ""ATPtx"", ""HMR_6578"", ""R_ATPtn"", ""R_ATPtx"", ""R_HMR_6578"", ""R_r1116"", ""r1116""], ""metanetx.reaction"": ""MNXR96140"", ""biggr"": [""ATP2t_m"", ""ATPtc"", ""ATPtn"", ""ATPtx"", ""DM_atp_c"", ""EX_atp_e"", ""R_ATP2t_m"", ""R_ATPtc"", ""R_ATPtn"", ""R_ATPtx"", ""R_DM_atp_c"", ""R_EX_atp_e"", ""R_r1116"", ""r1116""], ""metacycr"": ""RXN-14913"", ""sabiorkr"": ""13978"", ""seedr"": [""rxn29318"", ""rxn31158"", ""rxn31176"", ""rxn31193"", ""rxn32746""], ""vmhr"": [""ATPtn"", ""ATPtx"", ""HMR_6578"", ""R_ATPtn"", ""R_ATPtx"", ""R_HMR_6578"", ""R_r1116"", ""r1116""], ""tcdb"": ""9.A.6.1.1""}"	{}	balanced	[]	"{""C"": 0.0, ""H"": 0.0, ""N"": 0.0, ""O"": 0.0, ""P"": 0.0}"	0.0	balanced_as_stored	E3	0.3333333333333334	forward
R1161	H+ diffusion	m10[C_cy] <=> m627[C_nu]	H+_p+1 <=> H+_p+1	"{""m10[C_cy]"": -1.0, ""m627[C_nu]"": 1.0}"	[-1000.0, 1000.0]	"[""C_cy"", ""C_nu""]"		stored model assignment; not native validation	"{""sbo"": ""SBO:0000185"", ""bigg.reaction"": [""EX_h_e"", ""R_EX_h_e""], ""mnx"": ""MNXR02"", ""metanetx.reaction"": ""MNXR02"", ""biggr"": [""EX_h_e"", ""R_EX_h_e""]}"	{}	balanced	[]	"{""H"": 0.0}"	0.0	balanced_as_stored	E3	0.3333333333333334	forward
R1177	inositol hexakisphosphate transport	m140[C_cy] <=> m658[C_nu]	myo-inositol hexakisphosphate_C6H18O24P6 <=> myo-inositol hexakisphosphate_C6H18O24P6	"{""m140[C_cy]"": -1.0, ""m658[C_nu]"": 1.0}"	[-1000.0, 1000.0]	"[""C_cy"", ""C_nu""]"		stored model assignment; not native validation	"{""sbo"": ""SBO:0000185"", ""bigg.reaction"": [""DM_minohp_c"", ""EX_minohp_e"", ""MINOHPtexi"", ""MINOHPtn"", ""R_DM_minohp_c"", ""R_EX_minohp_e"", ""R_MINOHPtexi"", ""R_MINOHPtn""], ""seed.reaction"": [""rxn08925"", ""rxn13346"", ""rxn32877"", ""rxn32879""], ""vmhreaction"": [""MINOHPtn"", ""R_MINOHPtn""], ""metanetx.reaction"": ""MNXR188415"", ""biggr"": [""DM_minohp_c"", ""EX_minohp_e"", ""MINOHPtexi"", ""MINOHPtn"", ""R_DM_minohp_c"", ""R_EX_minohp_e"", ""R_MINOHPtexi"", ""R_MINOHPtn""], ""seedr"": [""rxn08925"", ""rxn13346"", ""rxn32877"", ""rxn32879""], ""vmhr"": [""MINOHPtn"", ""R_MINOHPtn""]}"	{}	balanced	[]	"{""C"": 0.0, ""H"": 0.0, ""O"": 0.0, ""P"": 0.0}"	0.0	balanced_as_stored	E3	-0.3333333333333334	reverse
