variant	label	carrier	blocks	status	maximum	verdict
E0	E0_ATP	ATP	[]	optimal	1000.0	positive_energy_regeneration
E0	E0_GTP	GTP	[]	optimal	1000.0	positive_energy_regeneration
E0	E0_UTP	UTP	[]	optimal	1000.0	positive_energy_regeneration
E0	E0_CTP	CTP	[]	optimal	1000.0	positive_energy_regeneration
E1	E1_ATP	ATP	[]	optimal	1000.0	positive_energy_regeneration
E2	E2_ATP	ATP	[]	optimal	1000.0	positive_energy_regeneration
E3	E3_ATP	ATP	[]	optimal	1000.0	positive_energy_regeneration
E3	E3_GTP	GTP	[]	optimal	1000.0	positive_energy_regeneration
E3	E3_UTP	UTP	[]	optimal	1000.0	positive_energy_regeneration
E3	E3_CTP	CTP	[]	optimal	1000.0	positive_energy_regeneration
E3	E3_ATP	ATP	[]	optimal	1000.0	positive_energy_regeneration
E3	E3_block_NDP1_forward	ATP	"[[""R_NDP1"", ""forward""]]"	optimal	489.655172413793	positive_energy_regeneration
E3	E3_block_R72_reverse	ATP	"[[""R72"", ""reverse""]]"	optimal	1000.0	positive_energy_regeneration
E3	E3_block_both	ATP	"[[""R_NDP1"", ""forward""], [""R72"", ""reverse""]]"	optimal	489.6551724137929	positive_energy_regeneration
E4	E4_ATP	ATP	[]	optimal	489.65517241379297	positive_energy_regeneration
E4	E4_GTP	GTP	[]	optimal	489.6551724137931	positive_energy_regeneration
E4	E4_UTP	UTP	[]	optimal	489.6551724137914	positive_energy_regeneration
E4	E4_CTP	CTP	[]	optimal	489.6551724137936	positive_energy_regeneration
E4	E4_ATP	ATP	[]	optimal	489.65517241379297	positive_energy_regeneration
E4	E4_block_CAT2p_reverse	ATP	"[[""R_CAT2p"", ""reverse""]]"	optimal	0.0	within_tolerance
E4	E4_block_OAADCm_forward	ATP	"[[""R_OAADCm"", ""forward""]]"	optimal	241.37931034482773	positive_energy_regeneration
E4	E4_block_CAT_OAA	ATP	"[[""R_CAT2p"", ""reverse""], [""R_OAADCm"", ""forward""]]"	optimal	0.0	within_tolerance
E5	E5_ATP	ATP	[]	optimal	0.0	within_tolerance
E5	E5_GTP	GTP	[]	optimal	0.0	within_tolerance
E5	E5_UTP	UTP	[]	optimal	0.0	within_tolerance
E5	E5_CTP	CTP	[]	optimal	0.0	within_tolerance
