exchange,uptake,comment
R1070,10,D-glucose; carbon source (2% glucose); bound matches current model.xml default (-10.0)
R1016,1000,ammonium; nitrogen source from (NH4)2SO4 in YNB w/o amino acids; already open in model.xml default
R1333,1000,sulphate; from (NH4)2SO4 + MgSO4 in YNB w/o amino acids; already open in model.xml default
R1296,1000,phosphate; from KH2PO4 in YNB w/o amino acids; already open in model.xml default
R1298,1000,potassium; from KH2PO4 in YNB w/o amino acids; already open in model.xml default
R2061,1000,magnesium; from MgSO4 in YNB w/o amino acids; already open in model.xml default
R1323,1000,sodium; from NaCl in YNB w/o amino acids; already open in model.xml default
R1029,1000,biotin; vitamin in YNB w/o amino acids; already open in model.xml default
R1340,1000,thiamine(1+); vitamin in YNB w/o amino acids; already open in model.xml default
R1305,1000,pyridoxine; vitamin in YNB w/o amino acids; already open in model.xml default
R2270,1000,"pyridoxal; vitamin B6 form, model-specific split of pyridoxine; already open in model.xml default"
R1030,1000,carbon dioxide; already open in model.xml default
R1164,1000,H+; already open in model.xml default
R1287,1000,oxygen; aerobic growth; already open in model.xml default
R1364,1000,water; already open in model.xml default
R1189,0.0000667,"bioavailable iron represented by the model's iron(2+) exchange; YNB contains 0.2 mg/L FeCl3.6H2O (0.000740 mM Fe), scaled to glucose 111 mM/-10 (inferred); was CLOSED in model.xml default"
R946,1000,(R)-pantothenate; vitamin in YNB w/o amino acids (Difco/BD formula); CURRENTLY CLOSED in model.xml default - needs opening
R1263,1000,myo-inositol; vitamin in YNB w/o amino acids (Difco/BD formula); CURRENTLY CLOSED in model.xml default - needs opening
R971,1000,4-aminobenzoate (PABA); vitamin in YNB w/o amino acids (Difco/BD formula); CURRENTLY CLOSED in model.xml default - needs opening
R1127,1000,folic acid; vitamin in YNB w/o amino acids (Difco/BD formula); CURRENTLY CLOSED in model.xml default - needs opening
R1268,1000,nicotinate (niacin); vitamin in YNB w/o amino acids (Difco/BD formula); CURRENTLY CLOSED in model.xml default - needs opening
R1314,1000,riboflavin; vitamin in YNB w/o amino acids (Difco/BD formula); CURRENTLY CLOSED in model.xml default - needs opening
R1003,0.00489,"adenine hemisulfate; CSM-Leu (10 mg/L, MW 184.16 salt) = 0.054 mM; uptake scaled to glucose 111 mM/-10 (inferred); was CLOSED in model.xml default"
R1202,0.02586,"L-arginine; CSM-Leu (50 mg/L, MW 174.20) = 0.287 mM; uptake scaled to glucose 111 mM/-10 (inferred); was CLOSED in model.xml default"
R1204,0.05414,"L-aspartic acid; CSM-Leu (80 mg/L, MW 133.10) = 0.601 mM; uptake scaled to glucose 111 mM/-10 (inferred); was CLOSED in model.xml default"
R1215,0.00859,"L-histidine; CSM-Leu (20 mg/L, MW 209.63 HCl.H2O salt) = 0.095 mM; uptake scaled to glucose 111 mM/-10 (inferred); was CLOSED in model.xml default"
R1217,0.03434,"L-isoleucine; CSM-Leu (50 mg/L, MW 131.17) = 0.381 mM; uptake scaled to glucose 111 mM/-10 (inferred); was CLOSED in model.xml default"
R1220,0.02466,"L-lysine; CSM-Leu (50 mg/L, MW 182.65 HCl salt) = 0.274 mM; uptake scaled to glucose 111 mM/-10 (inferred); was CLOSED in model.xml default"
R1222,0.01207,"L-methionine; CSM-Leu (20 mg/L, MW 149.21) = 0.134 mM; uptake scaled to glucose 111 mM/-10 (inferred); was CLOSED in model.xml default"
R1223,0.02727,"L-phenylalanine; CSM-Leu (50 mg/L, MW 165.19) = 0.303 mM; uptake scaled to glucose 111 mM/-10 (inferred); was CLOSED in model.xml default"
R1231,0.07562,"L-threonine; CSM-Leu (100 mg/L, MW 119.12) = 0.840 mM; uptake scaled to glucose 111 mM/-10 (inferred); was CLOSED in model.xml default"
R1232,0.02205,"L-tryptophan; CSM-Leu (50 mg/L, MW 204.23) = 0.245 mM; uptake scaled to glucose 111 mM/-10 (inferred); was CLOSED in model.xml default"
R1233,0.02486,"L-tyrosine; CSM-Leu (50 mg/L, MW 181.19) = 0.276 mM; uptake scaled to glucose 111 mM/-10 (inferred); was CLOSED in model.xml default"
R1234,0.10765,"L-valine; CSM-Leu (140 mg/L, MW 117.15) = 1.195 mM; uptake scaled to glucose 111 mM/-10 (inferred); was CLOSED in model.xml default"
R1354,0.01607,"uracil; CSM-Leu (20 mg/L, MW 112.09) = 0.178428 mM; 0.01607 is a legacy concentration-ratio surrogate, not measured uptake kinetics; PO1f static-FBA profile validates this input then overrides it to permissive 1000; use 0.178428 mM as the initial pool for future batch/dFBA"
