base_id,name,bigg_id,kegg_id,formula,charge,confidence
m1,L-Lactate,lac__L,,C3H5O3,-1.0,database
m2,Ferricytochrome c,ficytC,,C42H54FeN8O6S2,3.0,database
m3,Ferrocytochrome C,focytC,,C42H54FeN8O6S2,2.0,database
m4,Pyruvate,pyr,,C3H3O3,0.0,database
m5,L-Lactate,lac__L,,C3H5O3,-1.0,database
m6,Pyruvate,pyr,,C3H3O3,0.0,database
m7,L-Lactate,lac__L,,C3H5O3,-1.0,database
m8,D-Glucose,glc__D,,C6H12O6,0.0,database
m9,"Beta-1,3-glucan",13glucan,,C12H21O14P,-2.0,database
m10,Ps hs 18 1 18 1[c],ps_hs_18_1_18_1,,,,database
m11,UDP C9H11N2O12P2,udp,,C9H11N2O12P2,-3.0,database
m12,"Beta-1,3-glucan",13glucan,,C12H21O14P,-2.0,database
m13,1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide,prfp,,C15H21N5O15P2,-4.0,database
m14,5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide,prlp,,C15H21N5O15P2,-4.0,database
m15,1-phosphatidyl-1D-myo-inositol 3-phosphate,,,,,unmatched
m16,ATP C10H12N5O13P3,atp,,C10H12N5O13P3,-4.0,database
m17,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate",,,,,unmatched
m18,ADP C10H12N5O10P2,adp,,C10H12N5O10P2,-3.0,database
m19,Ps hs 18 1 18 1[c],ps_hs_18_1_18_1,,,,database
m20,1-phosphatidyl-1D-myo-inositol 3-phosphate,,,,,unmatched
m21,ATP C10H12N5O13P3,atp,,C10H12N5O13P3,-4.0,database
m22,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate",,,,,unmatched
m23,ADP C10H12N5O10P2,adp,,C10H12N5O10P2,-3.0,database
m24,Ps hs 18 1 18 1[c],ps_hs_18_1_18_1,,,,database
m25,1-Pyrroline-5-carboxylate,1pyr5c,,C5H6NO2,-1.0,database
m26,H2O H2O,h2o,,H2O,0.0,database
m27,Nicotinamide adenine dinucleotide,nad,,C21H26N7O14P2,0.0,database
m28,Ps hs 18 1 18 1[c],ps_hs_18_1_18_1,,,,database
m29,L-Glutamate,glu__L,,C5H8NO4,0.0,database
m30,Nicotinamide adenine dinucleotide - reduced,nadh,,C21H27N7O14P2,0.0,database
m31,"5-(methylthio)-2,3-dioxopentyl phosphate",d12h5mtp,,C6H10O3S,0.0,database
m32,H2O H2O,h2o,,H2O,0.0,database
