class,mnxm,met_id,model_formula,metanetx_formula,metanetx_charge,H_diff,met_name
only_H,MNXM1371362,m1[C_cy],C3H6O3,C3H5O3,-1,1,(R)-lactate_C3H6O3
only_H,MNXM23,m4[C_cy],C3H4O3,C3H3O3,-1,1,pyruvate_C3H4O3
only_H,MNXM1371363,m7[C_cy],C3H6O3,C3H5O3,-1,1,(S)-lactate_C3H6O3
only_H,MNXM1102128,m11[C_cy],C9H14N2O12P2,C9H11N2O12P2,-3,3,UDP_C9H14N2O12P2
only_H,MNXM3,m16[C_vm],C10H16N5O13P3,C10H12N5O13P3,-4,4,ATP_C10H16N5O13P3
only_H,MNXM40333,m18[C_vm],C10H15N5O10P2,C10H12N5O10P2,-3,3,ADP_C10H15N5O10P2
only_H,MNXM741173,m29[C_mi],C5H9NO4,C5H8NO4,-1,1,L-glutamate_C5H9NO4
only_H,MNXM10,m30[C_mi],C21H29N7O14P2,C21H27N7O14P2,-2,2,NADH_C21H29N7O14P2
only_H,MNXM39,m34[C_cy],CH2O2,CHO2,-1,1,formate_CH2O2
only_H,MNXM9,m35[C_cy],H3O4P,HO4P,-2,2,phosphate_H3O4P
only_H,MNXM738702,m40[C_cy],C21H30N7O17P3,C21H26N7O17P3,-4,4,NADPH_C21H30N7O17P3
only_H,MNXM5,m41[C_cy],C21H29N7O17P3,C21H25N7O17P3,-3,4,NADP(+)_C21H28N7O17P3
only_H,MNXM159,m42[C_mi],C4H6O3,C4H5O3,-1,1,2-oxobutanoate_C4H6O3
only_H,MNXM728294,m48[C_mi],C10H14N5O7P,C10H12N5O7P,-2,2,AMP_C10H14N5O7P
only_H,MNXM1368744,m51[C_cy],C5H6O5,C5H4O5,-2,2,2-oxoglutarate_C5H6O5
only_H,MNXM1368894,m52[C_cy],C6H11NO4,C6H10NO4,-1,1,L-2-aminoadipate_C6H11NO4
only_H,MNXM959,m53[C_cy],C6H10O4,C6H9O4,-1,1,2-dehydropantoate_C6H10O4
