reaction_id,compound,initial_concentration_mmol_l,pool_mode,initial_concentration_status,max_uptake_mmol_gdw_h,uptake_evidence_status,uptake_basis,source_locator,source_accessed_on,notes
R1070,D-glucose,111.014898199,finite,nominal_formulation,10,model_default_upper_bound,model_default_static_bound_not_measured_kinetics,https://www.nature.com/articles/s42003-023-04996-8,2026-08-20,"20 g/L glucose; uptake 10 is the model default rather than measured Vmax"
R1016,ammonium,,nondepleting,unresolved,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.fishersci.com/shop/products/bd-difco-dehydrated-culture-media-yeast-nitrogen-base-without-amino-acids-6/p-4901538,2026-08-20,"Permissive sensitivity assumption: concentration unresolved; retained as a nondepleting static-medium component"
R1333,sulphate,,nondepleting,unresolved,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.fishersci.com/shop/products/bd-difco-dehydrated-culture-media-yeast-nitrogen-base-without-amino-acids-6/p-4901538,2026-08-20,"Permissive sensitivity assumption: concentration unresolved; retained as a nondepleting static-medium component"
R1296,phosphate,,nondepleting,unresolved,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.fishersci.com/shop/products/bd-difco-dehydrated-culture-media-yeast-nitrogen-base-without-amino-acids-6/p-4901538,2026-08-20,"Permissive sensitivity assumption: concentration unresolved; retained as a nondepleting static-medium component"
R1298,potassium,,nondepleting,unresolved,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.fishersci.com/shop/products/bd-difco-dehydrated-culture-media-yeast-nitrogen-base-without-amino-acids-6/p-4901538,2026-08-20,"Permissive sensitivity assumption: concentration unresolved; retained as a nondepleting static-medium component"
R2061,magnesium,,nondepleting,unresolved,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.fishersci.com/shop/products/bd-difco-dehydrated-culture-media-yeast-nitrogen-base-without-amino-acids-6/p-4901538,2026-08-20,"Permissive sensitivity assumption: concentration unresolved; retained as a nondepleting static-medium component"
R1323,sodium,,nondepleting,unresolved,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.fishersci.com/shop/products/bd-difco-dehydrated-culture-media-yeast-nitrogen-base-without-amino-acids-6/p-4901538,2026-08-20,"Permissive sensitivity assumption: concentration unresolved; retained as a nondepleting static-medium component"
R1029,biotin,,nondepleting,unresolved,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.fishersci.com/shop/products/bd-difco-dehydrated-culture-media-yeast-nitrogen-base-without-amino-acids-6/p-4901538,2026-08-20,"Permissive sensitivity assumption: concentration unresolved; retained as a nondepleting static-medium component"
R1340,thiamine(1+),,nondepleting,unresolved,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.fishersci.com/shop/products/bd-difco-dehydrated-culture-media-yeast-nitrogen-base-without-amino-acids-6/p-4901538,2026-08-20,"Permissive sensitivity assumption: concentration unresolved; retained as a nondepleting static-medium component"
R1305,pyridoxine,,nondepleting,unresolved,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.fishersci.com/shop/products/bd-difco-dehydrated-culture-media-yeast-nitrogen-base-without-amino-acids-6/p-4901538,2026-08-20,"Permissive sensitivity assumption: concentration unresolved; retained as a nondepleting static-medium component"
R2270,pyridoxal,,nondepleting,unresolved,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.fishersci.com/shop/products/bd-difco-dehydrated-culture-media-yeast-nitrogen-base-without-amino-acids-6/p-4901538,2026-08-20,"Model-specific B6 form; the formulation supplies pyridoxine so no separate finite pyridoxal pool is asserted"
R1030,carbon dioxide,,boundary,environmental_boundary,1000,permissive_upper_bound,permissive_sensitivity_assumption_not_measured_kinetics,https://www.nature.com/articles/s42003-023-04996-8,2026-08-20,"Environmental boundary; no finite initial pool is asserted"
