met_id,raw_name,formula,charge,compartment,clean_name,embedded_formula,is_dirty,base_id
m1_c,(R)-lactate_C3H6O3,,0,c,(R)-lactate,C3H6O3,False,m1
m2_m,ferricytochrome c_,,0,m,ferricytochrome c,,False,m2
m3_m,ferrocytochrome c_,,0,m,ferrocytochrome c,,False,m3
m4_c,pyruvate_C3H4O3,,0,c,pyruvate,C3H4O3,False,m4
m5_m,(R)-lactate_C3H6O3,,0,m,(R)-lactate,C3H6O3,False,m5
m6_m,pyruvate_C3H4O3,,0,m,pyruvate,C3H4O3,False,m6
m7_c,(S)-lactate_C3H6O3,,0,c,(S)-lactate,C3H6O3,False,m7
m8_c,UDP-D-glucose_C15H22N2O17P2,,0,c,UDP-D-glucose,C15H22N2O17P2,False,m8
m9_ce,(1-3)-beta-D-glucan_,,0,ce,(1-3)-beta-D-glucan,,False,m9
m10_c,H+_p+1,,0,c,H+_p+1,,False,m10
m11_c,UDP_C9H14N2O12P2,,0,c,UDP,C9H14N2O12P2,False,m11
m12_ce,(1-6)-beta-D-glucan_,,0,ce,(1-6)-beta-D-glucan,,False,m12
m13_c,1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide_C15H21N5O15P2,,0,c,1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide,C15H21N5O15P2,False,m13
m14_c,5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide_C15H21N5O15P2,,0,c,5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,C15H21N5O15P2,False,m14
m15_vm,1-phosphatidyl-1D-myo-inositol 3-phosphate_ActiveX VT_ERROR:,,0,vm,1-phosphatidyl-1D-myo-inositol 3-phosphate,,True,m15
m16_vm,ATP_C10H16N5O13P3,,0,vm,ATP,C10H16N5O13P3,False,m16
m17_vm,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate_ActiveX VT_ERROR:",,0,vm,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate",,True,m17
m18_vm,ADP_C10H15N5O10P2,,0,vm,ADP,C10H15N5O10P2,False,m18
m19_vm,H+_p+1,,0,vm,H+_p+1,,False,m19
m20_ce,1-phosphatidyl-1D-myo-inositol 3-phosphate_ActiveX VT_ERROR:,,0,ce,1-phosphatidyl-1D-myo-inositol 3-phosphate,,True,m20
m21_ce,ATP_C10H16N5O13P3,,0,ce,ATP,C10H16N5O13P3,False,m21
m22_ce,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate_ActiveX VT_ERROR:",,0,ce,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate",,True,m22
m23_ce,ADP_C10H15N5O10P2,,0,ce,ADP,C10H15N5O10P2,False,m23
m24_ce,H+_p+1,,0,ce,H+_p+1,,False,m24
m25_m,1-pyrroline-5-carboxylate_C5H6NO2,,0,m,1-pyrroline-5-carboxylate,C5H6NO2,False,m25
m26_m,H2O_H2O,,0,m,H2O,H2O,False,m26
m27_m,NAD_C21H27N7O14P2,,0,m,NAD,C21H27N7O14P2,False,m27
m28_m,H+_p+1,,0,m,H+_p+1,,False,m28
m29_m,L-glutamate_C5H9NO4,,0,m,L-glutamate,C5H9NO4,False,m29
m30_m,NADH_C21H29N7O14P2,,0,m,NADH,C21H29N7O14P2,False,m30
m31_c,"5-(methylsulfanyl)-2,3-dioxopentyl phosphate_C6H9O6PS",,0,c,"5-(methylsulfanyl)-2,3-dioxopentyl phosphate",C6H9O6PS,False,m31
m32_c,H2O_H2O,,0,c,H2O,H2O,False,m32
m33_c,4-methylthio-2-oxobutanoate_C5H7O3S,,0,c,4-methylthio-2-oxobutanoate,C5H7O3S,False,m33
m34_c,formate_CH2O2,,0,c,formate,CH2O2,False,m34
m35_c,phosphate_H3O4P,,0,c,phosphate,H3O4P,False,m35
m36_c,"2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone_C9H18N5O8P",,0,c,"2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone",C9H18N5O8P,False,m36
m37_c,5-amino-6-(5-phosphoribitylamino)uracil_C9H15N4O9P,,0,c,5-amino-6-(5-phosphoribitylamino)uracil,C9H15N4O9P,False,m37
m38_c,ammonium_H3N,,0,c,ammonium,H3N,False,m38
m39_c,"2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine_C9H14N5O8P",,0,c,"2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine",C9H14N5O8P,False,m39
m40_c,NADPH_C21H30N7O17P3,,0,c,NADPH,C21H30N7O17P3,False,m40
m41_c,NADP(+)_C21H28N7O17P3,,0,c,NADP(+),C21H28N7O17P3,False,m41
m42_m,2-oxobutanoate_C4H6O3,,0,m,2-oxobutanoate,C4H6O3,False,m42
m43_m,(S)-2-acetyl-2-hydroxybutanoate_C6H10O4,,0,m,(S)-2-acetyl-2-hydroxybutanoate,C6H10O4,False,m43
m44_m,carbon dioxide_CO2,,0,m,carbon dioxide,CO2,False,m44
