reaction,name,kegg,n_current_ec,current_ec,kegg_ec,action,keep_ec,drop_ec
R131,"alcohol dehydrogenase (glycerol, NADP)",R01041,8,1.1.1.149;1.1.1.156;1.1.1.19;1.1.1.2;1.1.1.21;1.1.1.372;1.1.1.72;1.3.1.20,1.1.1.2;1.1.1.21;1.1.1.372;1.1.1.72,clean,1.1.1.2;1.1.1.21;1.1.1.372;1.1.1.72,1.1.1.149;1.1.1.156;1.1.1.19;1.3.1.20
R134,"aldehyde dehydrogenase (acetaldehyde, NADP)",R00711,6,1.2.1.19;1.2.1.26;1.2.1.3;1.2.1.4;1.2.1.5;1.2.1.88,1.2.1.4;1.2.1.5,clean,1.2.1.4;1.2.1.5,1.2.1.19;1.2.1.26;1.2.1.3;1.2.1.88
R135,"aldehyde dehydrogenase (acetylaldehyde, NAD)",R00710,9,1.2.1.19;1.2.1.24;1.2.1.3;1.2.1.31;1.2.1.36;1.2.1.48;1.2.1.5;1.2.1.69;1.2.1.88,1.2.1.3;1.2.1.5,clean,1.2.1.3;1.2.1.5,1.2.1.19;1.2.1.24;1.2.1.31;1.2.1.36;1.2.1.48;1.2.1.69;1.2.1.88
R136,"aldehyde dehydrogenase (acetylaldehyde, NADP)",R00711,6,1.2.1.19;1.2.1.26;1.2.1.3;1.2.1.4;1.2.1.5;1.2.1.88,1.2.1.4;1.2.1.5,clean,1.2.1.4;1.2.1.5,1.2.1.19;1.2.1.26;1.2.1.3;1.2.1.88
R1379,phenylalanine transaminase,R00694,7,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.58;2.6.1.9,2.6.1.1;2.6.1.5;2.6.1.57;2.6.1.9,clean,2.6.1.1;2.6.1.5;2.6.1.57;2.6.1.9,2.6.1.27;2.6.1.42;2.6.1.58
R1380,tryptophan transaminase,R00684,6,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,2.6.1.27,clean,2.6.1.27,2.6.1.1;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9
R175,biotin-[acetyl-CoA-carboxylase] ligase,R01074,5,6.2.1.11;6.3.4.10;6.3.4.11;6.3.4.15;6.3.4.9,6.2.1.11;6.3.4.10;6.3.4.11;6.3.4.9,clean,6.2.1.11;6.3.4.10;6.3.4.11;6.3.4.9,6.3.4.15
R1893,mannitol dehydrogenase,R00870,11,1.1.1.124;1.1.1.138;1.1.99.11;1.14.13.50;2.5.1.18;2.7.1.59;3.2.1.14;3.2.1.165;4.1.3.3;4.2.1.66;5.1.3.8,1.1.1.138,clean,1.1.1.138,1.1.1.124;1.1.99.11;1.14.13.50;2.5.1.18;2.7.1.59;3.2.1.14;3.2.1.165;4.1.3.3;4.2.1.66;5.1.3.8
R1901,L-asparaginase,R00485,5,3.4.19.5;3.5.1.1;3.5.1.26;3.5.1.38;3.5.5.4,3.5.1.1;3.5.1.38;3.5.5.4,clean,3.5.1.1;3.5.1.38;3.5.5.4,3.4.19.5;3.5.1.26
R2070,Acetaldehyde:NAD+ oxidoreductase,R00710,9,1.2.1.19;1.2.1.24;1.2.1.3;1.2.1.31;1.2.1.36;1.2.1.48;1.2.1.5;1.2.1.69;1.2.1.88,1.2.1.3;1.2.1.5,clean,1.2.1.3;1.2.1.5,1.2.1.19;1.2.1.24;1.2.1.31;1.2.1.36;1.2.1.48;1.2.1.69;1.2.1.88
