priority,gene_id,ec_number,mnxr_id,bigg_reaction,kegg_reaction,missing_metabolites_count,missing_metabolites,equation
P0,YALI0B10406g,4.2.1.17,MNXR188239,R_PRPNCOAHYDx,R03045,0,,1 MNXM1363894@MNXD1 = 1 MNXM1364005@MNXD1 + 1 WATER@MNXD1
P0,YALI0B10406g,4.2.1.17,MNXR198620,R_ECOAH9m,R04204,0,,1 MNXM1364002@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1364015@MNXD1
P0,YALI1A00309g,6.1.1.5,MNXR145292,R_ILETRSm,,0,,1 MNXM11@MNXD1 + 1 MNXM728294@MNXD1 + 1 MNXM741224@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM728337@MNXD1 + 1 MNXM90879@MNXD1
P0,YALI1A05459g,2.6.1.85,MNXR95440,R_ADCS,R01716,0,,1 MNXM1458@MNXD1 + 1 MNXM741173@MNXD1 = 1 MNXM337@MNXD1 + 1 MNXM37@MNXD1
P0,YALI1A05459g,2.6.1.85,MNXR100030,R_GLUNpp,R00256,0,,1 MNXM37@MNXD1 + 1 WATER@MNXD1 = 1 MNXM729302@MNXD1 + 1 MNXM741173@MNXD1
P0,YALI1A08512g,2.7.1.35,MNXR103362,R_PYDXNK,R01909,0,,1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 + 1 MNXM454@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM419@MNXD1
P0,YALI1A08512g,2.7.1.35,MNXR103361,R_PYDXK_1,R00174,0,,1 MNXM161@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 = 1 MNXM311@MNXD1 + 1 MNXM3@MNXD1
P0,YALI1A08512g,2.7.1.35,MNXR103357,R_PYDAMK,R02493,0,,1 MNXM1@MNXD1 + 1 MNXM366@MNXD1 + 1 MNXM40333@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM548@MNXD1
P0,YALI1A09121g,6.1.1.3,MNXR146545,THRTRSm,,0,,1 MNXM11@MNXD1 + 1 MNXM728294@MNXD1 + 1 MNXM741234@MNXD1 = 1 MNXM142@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM90883@MNXD1
P0,YALI1A09694g,1.4.4.2,MNXR100065,R_GCC2am,,0,,1 MNXM1024@MNXD1 + 1 MNXM29@MNXD1 = 1 MNXM13@MNXD1 + 1 MNXM81220@MNXD1
