reaction,add_gene,ec,yali1,yali0
R1085,YALI1B29895g,2.7.4.3,YALI1_B29895g,YALI0B22946g
R121,YALI1B29895g,2.7.4.3,YALI1_B29895g,YALI0B22946g
R145,YALI1A16422g,1.4.3.21,YALI1_A16422g,YALI0A16445g
R1948,YALI1A01198g,3.6.1.5,YALI1_A01198g,YALI0A00913g
R1949,YALI1A01198g,3.6.1.5,YALI1_A01198g,YALI0A00913g
R2105,YALI1E39395g,2.4.1.141,YALI1_E39395g,YALI0E33275g
R2117,YALI1D19252g,1.3.8.5,YALI1_D19252g,YALI0D15708g
R2282,YALI1D19252g,1.3.8.5,YALI1_D19252g,YALI0D15708g
R289,YALI1D13201g,2.4.1.109,YALI1_D13201g,YALI0D10549g
R308,YALI1F36930g,1.17.1.9,YALI1_F36930g,YALI0F29315g
R510,YALI1C28263g,1.1.1.283,YALI1_C28263g,YALI0C20251g
R510,YALI1D11256g,1.1.1.283,YALI1_D11256g,YALI0D08778g
R510,YALI1D14453g,1.1.1.283,YALI1_D14453g,YALI0D11616g
R510,YALI1F12649g,1.1.1.283,YALI1_F12649g,YALI0F09075g
R578,YALI1A20611g,2.7.7.1,YALI1_A20611g,YALI0A19624g
R579,YALI1A20611g,2.7.7.1,YALI1_A20611g,YALI0A19624g
R580,YALI1A20611g,2.7.7.1,YALI1_A20611g,YALI0A19624g
R584,YALI1A01198g,3.6.1.5,YALI1_A01198g,YALI0A00913g
R671,YALI1E11370g,6.3.5.7,YALI1_E11370g,YALI0E09240g
R732,YALI1C15776g,3.1.3.4,YALI1_C15776g,YALI0C11297g
R765,YALI1D02625g,2.2.1.1,YALI1_D02625g,YALI0D02277g
R766,YALI1D02625g,2.2.1.1,YALI1_D02625g,YALI0D02277g
