schema_version,status,family_id,selector_type,selector_value,target_formula,target_charge,reference_ph,chebi_id,rhea_id,source_url,min_matches,expected_metabolite_ids,allowed_current_pairs,rationale
1,active,proton,base_name,H+,H,1,7.3,CHEBI:15378,,https://www.ebi.ac.uk/chebi/CHEBI:15378,14,m1007[C_va];m102[C_er];m10[C_cy];m118[C_pe];m1249[C_lp];m19[C_vm];m24[C_en];m28[C_mi];m293[C_go];m342[C_ex];m377[C_em];m382[C_mm];m627[C_nu];m871[C_gm],<missing>|0;H|1,Canonical freely balancing aqueous proton
1,active,water,base_name,H2O,H2O,0,7.3,CHEBI:15377,,https://www.ebi.ac.uk/chebi/CHEBI:15377,14,m1384[C_va];m1447[C_em];m1580[C_lp];m1594[C_en];m1617[C_vm];m1619[C_gm];m1623[C_mm];m214[C_ex];m26[C_mi];m32[C_cy];m375[C_pe];m389[C_er];m626[C_nu];m835[C_go],<missing>|0;H2O|0,Canonical water used with H+ for aqueous acid-base bookkeeping
1,active,bicarbonate,base_name,bicarbonate,CHO3,-1,7.3,CHEBI:17544,,https://www.ebi.ac.uk/chebi/CHEBI:17544,4,m1172[C_ex];m1175[C_nu];m196[C_mi];m199[C_cy],<missing>|0;CHO3|-1,Hydrogencarbonate major ionic form
1,active,potassium,base_name,potassium,K,1,7.3,CHEBI:29103,,https://www.ebi.ac.uk/chebi/CHEBI:29103,2,m1099[C_ex];m1100[C_cy],<missing>|0;KH|0;K|1,Free potassium ion rather than a neutral KH salt formula
1,active,sodium,base_name,sodium,Na,1,7.3,CHEBI:29101,,https://www.ebi.ac.uk/chebi/CHEBI:29101,2,m1107[C_cy];m1108[C_ex],<missing>|0;NaH|0;Na|1,Free sodium ion rather than a neutral NaH salt formula
1,active,magnesium,base_name,Magnesium,Mg,2,7.3,CHEBI:18420,,https://www.ebi.ac.uk/chebi/CHEBI:18420,2,m1892[C_ex];m1893[C_cy],<missing>|0;Mg|0;Mg|2,Free magnesium dication; metal complexes require separate metabolites
1,active,chloride,base_name,chloride,Cl,-1,7.3,CHEBI:17996,,https://www.ebi.ac.uk/chebi/CHEBI:17996,0,,<missing>|0;Cl|0;Cl|-1,Optional future-safe chloride convention; no matching metabolite exists currently
1,component_review,ammonium,base_name,ammonium,H4N,1,7.3,CHEBI:28938,,https://www.ebi.ac.uk/chebi/CHEBI:28938,3,m1031[C_ex];m38[C_cy];m581[C_mi],<missing>|0;H3N|1;H4N|1,Exact ammonium pair is verified but its reaction family still mixes protonation conventions
1,component_review,phosphate,base_name,phosphate,HO4P,-2,7.3,CHEBI:43474,,https://www.ebi.ac.uk/chebi/CHEBI:43474,11,m1354[C_va];m1599[C_em];m1612[C_en];m1618[C_vm];m1620[C_gm];m1630[C_mm];m215[C_ex];m35[C_cy];m58[C_mi];m837[C_go];m952[C_er],<missing>|0;H3O4P|0;H3O4P|-2;HO4P|-2,Hydrogenphosphate migration must include all phosphate-linked reactions and transports
1,component_review,diphosphate,base_name,diphosphate,HO7P2,-3,7.3,CHEBI:33019,RHEA:15229,https://www.rhea-db.org/rhea/15229,8,m1497[C_en];m203[C_cy];m204[C_mi];m210[C_nu];m380[C_em];m385[C_mm];m413[C_lp];m518[C_pe],<missing>|0;H4O7P2|0;H4O7P2|-3;HO7P2|-3,R540-supported target; isolated family conversion breaks previously balanced reactions
1,component_review,atp,base_name,ATP,C10H12N5O13P3,-4,7.3,CHEBI:30616,,https://www.ebi.ac.uk/chebi/CHEBI:30616,10,m141[C_cy];m1469[C_em];m1477[C_lp];m1621[C_gm];m16[C_vm];m206[C_nu];m21[C_en];m46[C_mi];m515[C_pe];m953[C_er],<missing>|0;C10H16N5O13P3|0;C10H16N5O13P3|-4;C10H12N5O13P3|-4,ATP migration requires its complete nucleotide and transport component
1,component_review,adp,base_name,ADP,C10H12N5O10P2,-3,7.3,CHEBI:456216,RHEA:16169,https://www.rhea-db.org/rhea/16169,8,m1028[C_pe];m143[C_cy];m1622[C_gm];m18[C_vm];m197[C_mi];m23[C_en];m657[C_nu];m954[C_er],<missing>|0;C10H15N5O10P2|0;C10H15N5O10P2|-3;C10H12N5O10P2|-3,Glutamine-synthetase reference target; migrate with ATP and phosphate families
1,component_review,l_glutamate,base_name,L-glutamate,C5H8NO4,-1,7.3,CHEBI:29985,RHEA:16169,https://www.rhea-db.org/rhea/16169,6,m1071[C_va];m1072[C_ex];m29[C_mi];m332[C_pe];m50[C_cy];m823[C_nu],<missing>|0;C5H9NO4|0;C5H9NO4|-1;C5H8NO4|-1,Glutamine-synthetase reference target; migrate all compartmental copies together
1,component_review,gtp,base_name,GTP,C10H12N5O14P3,-4,7.3,CHEBI:37565,RHEA:15229,https://www.rhea-db.org/rhea/15229,2,m260[C_mi];m266[C_cy],<missing>|0;C10H16N5O14P3|0;C10H16N5O14P3|-4;C10H12N5O14P3|-4,R540-supported target; migrate all GTP-linked reactions together
1,component_review,mannose_1_phosphate,base_name,D-mannose 1-phosphate,C6H11O9P,-2,7.3,CHEBI:58409,RHEA:15229,https://www.rhea-db.org/rhea/15229,1,m802[C_cy],<missing>|0;C6H13O9P|0;C6H13O9P|-2;C6H11O9P|-2,R540-supported target; requires connected GDP-mannose component migration
1,component_review,gdp_mannose,base_name,GDP-alpha-D-mannose,C16H23N5O16P2,-2,7.3,CHEBI:57527,RHEA:15229,https://www.rhea-db.org/rhea/15229,2,m290[C_go];m343[C_cy],<missing>|0;C16H23N5O16P2|-2,Correct R540 anchor retained for connected-component validation
1,component_review,nadph,base_name,NADPH,C21H26N7O17P3,-4,7.3,CHEBI:57783,RHEA:19819,https://www.rhea-db.org/rhea/19819,6,m103[C_er];m1438[C_em];m1609[C_lp];m176[C_mi];m40[C_cy];m742[C_pe],<missing>|0;C21H30N7O17P3|0;C21H30N7O17P3|-4;C21H26N7O17P3|-4,R60 reference target; migrate the NADP redox family as one connected component
1,component_review,nadp,base_name,NADP(+),C21H25N7O17P3,-3,7.3,CHEBI:58349,RHEA:19819,https://www.rhea-db.org/rhea/19819,6,m104[C_er];m1439[C_em];m1610[C_lp];m178[C_mi];m41[C_cy];m740[C_pe],<missing>|0;C21H29N7O17P3|0;C21H29N7O17P3|-3;C21H25N7O17P3|-3,R60 reference target; supersedes the legacy neutral-formula NADP patch after component migration
1,component_review,methylene_tetrahydrofolate,base_name,"5,10-methylenetetrahydrofolate",C20H21N7O6,-2,7.3,CHEBI:15636,RHEA:19819,https://www.rhea-db.org/rhea/19819,2,m124[C_mi];m153[C_cy],<missing>|0;C20H23N7O6|0;C20H23N7O6|-2;C20H21N7O6|-2,R60 stereospecific folate target; migrate with the NADP redox family
1,component_review,methyl_tetrahydrofolate,base_name,5-methyltetrahydrofolate,C20H23N7O6,-2,7.3,CHEBI:18608,RHEA:19819,https://www.rhea-db.org/rhea/19819,1,m154[C_cy],<missing>|0;C20H25N7O6|0;C20H23N7O6|-2,R60 product target; current neutral record conflicts with the Rhea microspecies
1,component_review,tetrahydrofolate,base_name,THF,C19H21N7O6,-2,7.3,CHEBI:57453,RHEA:11172,https://www.rhea-db.org/rhea/11172,2,m126[C_mi];m479[C_cy],<missing>|0;C19H23N7O6|0;C19H21N7O6|-2,R545 product target; migrate the complete folate one-carbon component
1,component_review,l_homocysteine,base_name,L-homocysteine,C4H9NO2S,0,7.3,CHEBI:58199,RHEA:11172,https://www.rhea-db.org/rhea/11172,1,m162[C_cy],<missing>|0;C4H9NO2S|0,Correct R545 substrate anchor retained for component validation
