name,formula,charge,rule,n_copies,status,url
"3,4-dihydroxymandelaldehyde",C8H8O4,?,需人工定,1,need_charge,https://pubchem.ncbi.nlm.nih.gov/#query=3%2C4-dihydroxymandelaldehyde
UDP-glucose,C15H24N2O17P2,?,磷酸酯-电荷需查模型同类,1,need_charge,https://pubchem.ncbi.nlm.nih.gov/#query=UDP-glucose
"myo-inositol 1,3,4,5,6-pentakisphosphate",C6H17O21P5,?,磷酸酯-电荷需查模型同类,2,need_charge,https://pubchem.ncbi.nlm.nih.gov/#query=myo-inositol%201%2C3%2C4%2C5%2C6-pentakisphosphate
"trans,trans-Farnesyl diphosphate",C15H28O7P2,?,磷酸酯-电荷需查模型同类,1,need_charge,https://pubchem.ncbi.nlm.nih.gov/#query=trans%2Ctrans-Farnesyl%20diphosphate
(Indol-3-yl)acetamide,C10H10N2O,0,中性(萜/酯/胺/腈/醇/醛),1,ready,https://pubchem.ncbi.nlm.nih.gov/#query=%28Indol-3-yl%29acetamide
(S)-Methylmalonate semialdehyde,C4H5O3,-1,单羧酸根(-1),1,ready,https://pubchem.ncbi.nlm.nih.gov/#query=%28S%29-Methylmalonate%20semialdehyde
2-Methylprop-2-enoyl-CoA,C25H40N7O17P3S,-4,CoA类(模型acyl-CoA约定-4),1,ready,https://pubchem.ncbi.nlm.nih.gov/#query=2-Methylprop-2-enoyl-CoA
"3,4-dihydroxymandelate",C8H8O5,-1,单羧酸根(-1),1,ready,https://pubchem.ncbi.nlm.nih.gov/#query=3%2C4-dihydroxymandelate
"3,4-dihydroxyphenylethyleneglycol",C8H10O4,0,中性(萜/酯/胺/腈/醇/醛),2,ready,https://pubchem.ncbi.nlm.nih.gov/#query=3%2C4-dihydroxyphenylethyleneglycol
3-methoxy-4-hydroxymandelate,C9H10O5,-1,单羧酸根(-1),1,ready,https://pubchem.ncbi.nlm.nih.gov/#query=3-methoxy-4-hydroxymandelate
3-methoxy-4-hydroxyphenylethyleneglycol,C9H12O4,0,中性(萜/酯/胺/腈/醇/醛),1,ready,https://pubchem.ncbi.nlm.nih.gov/#query=3-methoxy-4-hydroxyphenylethyleneglycol
4-Aminobutyraldehyde,C4H9NO,0,中性(萜/酯/胺/腈/醇/醛),1,ready,https://pubchem.ncbi.nlm.nih.gov/#query=4-Aminobutyraldehyde
5-Keto-D-Gluconic Acid,C6H10O7,-1,单羧酸根(-1),2,ready,https://pubchem.ncbi.nlm.nih.gov/#query=5-Keto-D-Gluconic%20Acid
Ala-Gly,C5H10N2O3,0,"二肽(两性离子, 净0)",3,ready,https://pubchem.ncbi.nlm.nih.gov/#query=Ala-Gly
Cys-Gly,C5H10N2O3S,0,"二肽(两性离子, 净0)",1,ready,https://pubchem.ncbi.nlm.nih.gov/#query=Cys-Gly
D-Limonene,C10H16,0,中性(萜/酯/胺/腈/醇/醛),2,ready,https://pubchem.ncbi.nlm.nih.gov/#query=D-Limonene
D-galacturonate,C6H10O7,-1,单羧酸根(-1),1,ready,https://pubchem.ncbi.nlm.nih.gov/#query=D-galacturonate
D-glycerate,C3H5O4,-1,单羧酸根(-1),1,ready,https://pubchem.ncbi.nlm.nih.gov/#query=D-glycerate
Gly-Asp,C6H10N2O5,0,"二肽(两性离子, 净0)",3,ready,https://pubchem.ncbi.nlm.nih.gov/#query=Gly-Asp
Gly-Pro,C7H12N2O3,0,"二肽(两性离子, 净0)",3,ready,https://pubchem.ncbi.nlm.nih.gov/#query=Gly-Pro
Gly_Glu,C7H12N2O5,0,"二肽(两性离子, 净0)",3,ready,https://pubchem.ncbi.nlm.nih.gov/#query=Gly-Glu
Hydrogen peroxide,H2O2,0,中性(萜/酯/胺/腈/醇/醛),1,ready,https://pubchem.ncbi.nlm.nih.gov/#query=Hydrogen%20peroxide
Indole_3_acetonitrile,C10H8N2,0,中性(萜/酯/胺/腈/醇/醛),2,ready,https://pubchem.ncbi.nlm.nih.gov/#query=Indole-3-acetonitrile
Indolepyruvate,C11H9NO3,-1,单羧酸根(-1),1,ready,https://pubchem.ncbi.nlm.nih.gov/#query=Indolepyruvate
Mercaptopyruvate,C3H4O3S,-1,单羧酸根(-1),1,ready,https://pubchem.ncbi.nlm.nih.gov/#query=Mercaptopyruvate
Phenethylamine,C8H11N,0,中性(萜/酯/胺/腈/醇/醛),1,ready,https://pubchem.ncbi.nlm.nih.gov/#query=Phenethylamine
alpha_Aminopropiononitrile,C3H6N2,0,中性(萜/酯/胺/腈/醇/醛),2,ready,https://pubchem.ncbi.nlm.nih.gov/#query=alpha-Aminopropiononitrile
gamma_Amino_gamma_cyanobutanoate,C5H8N2O2,-1,单羧酸根(-1),2,ready,https://pubchem.ncbi.nlm.nih.gov/#query=gamma-Amino-gamma-cyanobutanoate
isoamyl acetate,C7H14O2,0,中性(萜/酯/胺/腈/醇/醛),2,ready,https://pubchem.ncbi.nlm.nih.gov/#query=isoamyl%20acetate
octadecadienoate,C18H32O2,-1,单羧酸根(-1),1,ready,https://pubchem.ncbi.nlm.nih.gov/#query=octadecadienoate
omega-hydroxy-hexadecanoate,C16H31O3,-1,单羧酸根(-1),1,ready,https://pubchem.ncbi.nlm.nih.gov/#query=omega-hydroxy-hexadecanoate
propionyl-CoA,C24H40N7O17P3S,-4,CoA类(模型acyl-CoA约定-4),1,ready,https://pubchem.ncbi.nlm.nih.gov/#query=propionyl-CoA
trans-hexadec-2-enoyl-CoA,C37H64N7O17P3S,-4,CoA类(模型acyl-CoA约定-4),1,ready,https://pubchem.ncbi.nlm.nih.gov/#query=trans-hexadec-2-enoyl-CoA
triolein,C57H104O6,0,中性(萜/酯/胺/腈/醇/醛),1,ready,https://pubchem.ncbi.nlm.nih.gov/#query=triolein
Glyceron phosphate,(查不到),,"PubChem未查到, 需手查",1,todo,https://pubchem.ncbi.nlm.nih.gov/#query=Glyceron%20phosphate
