met_id,compartment,iyli_name,normalized_name,self_anchor_formula,yeastgem_formula,yeastgem_matched_name,yeastgem_match_type,confidence
m1707[C_go],C_go,inositol-P-ceramide B'-(C24)_,inositol p ceramide b' c24,C48H96NO12P,C48H96NO12P,inositol p ceramide b' c24,exact_normalized,HIGH (self_and_yeast_agree)
m1708[C_go],C_go,inositol-P-ceramide B'-(C26)_,inositol p ceramide b' c26,C50H100NO12P,C50H100NO12P,inositol p ceramide b' c26,exact_normalized,HIGH (self_and_yeast_agree)
m1709[C_go],C_go,inositol-P-ceramide C-(C24)_,inositol p ceramide c c24,C48H96NO13P,C48H96NO13P,inositol p ceramide c c24,exact_normalized,HIGH (self_and_yeast_agree)
m1710[C_go],C_go,inositol-P-ceramide C-(C26)_,inositol p ceramide c c26,C50H100NO13P,C50H100NO13P,inositol p ceramide c c26,exact_normalized,HIGH (self_and_yeast_agree)
m1711[C_go],C_go,inositol-P-ceramide A-(C24)_,inositol p ceramide a c24,C48H96NO11P,C48H96NO11P,inositol p ceramide a c24,exact_normalized,HIGH (self_and_yeast_agree)
m1712[C_go],C_go,inositol-P-ceramide A-(C26)_,inositol p ceramide a c26,C50H100NO11P,C50H100NO11P,inositol p ceramide a c26,exact_normalized,HIGH (self_and_yeast_agree)
m1713[C_go],C_go,inositol-P-ceramide B-(C24)_,inositol p ceramide b c24,C48H96NO12P,C48H96NO12P,inositol p ceramide b c24,exact_normalized,HIGH (self_and_yeast_agree)
m1714[C_go],C_go,inositol-P-ceramide B-(C26)_,inositol p ceramide b c26,C50H100NO12P,C50H100NO12P,inositol p ceramide b c26,exact_normalized,HIGH (self_and_yeast_agree)
m1715[C_go],C_go,inositol-P-ceramide D-(C24)_,inositol p ceramide d c24,C48H96NO14P,C48H96NO14P,inositol p ceramide d c24,exact_normalized,HIGH (self_and_yeast_agree)
m1716[C_go],C_go,inositol-P-ceramide D-(C26)_,inositol p ceramide d c26,C50H100NO14P,C50H100NO14P,inositol p ceramide d c26,exact_normalized,HIGH (self_and_yeast_agree)
m1033[C_go],C_go,ceramide-2'-(C24)_,ceramide 2' c24,,C42H85NO4,ceramide 2' c24,exact_normalized,MEDIUM (yeast_exact_only)
m1034[C_go],C_go,ceramide-2'-(C26)_,ceramide 2' c26,,C44H89NO4,ceramide 2' c26,exact_normalized,MEDIUM (yeast_exact_only)
m1035[C_go],C_go,ceramide-3-(C24)_,ceramide 3 c24,,C42H85NO5,ceramide 3 c24,exact_normalized,MEDIUM (yeast_exact_only)
m1036[C_go],C_go,ceramide-3-(C26)_,ceramide 3 c26,,C44H89NO5,ceramide 3 c26,exact_normalized,MEDIUM (yeast_exact_only)
m1180[C_go],C_go,ceramide-2-(C24)_,ceramide 2 c24,,C42H85NO4,ceramide 2 c24,exact_normalized,MEDIUM (yeast_exact_only)
m1181[C_go],C_go,ceramide-4-(C24)_,ceramide 4 c24,,C42H85NO6,ceramide 4 c24,exact_normalized,MEDIUM (yeast_exact_only)
m1183[C_go],C_go,ceramide-2-(C26)_,ceramide 2 c26,,C44H89NO4,ceramide 2 c26,exact_normalized,MEDIUM (yeast_exact_only)
m1184[C_go],C_go,ceramide-4-(C26)_,ceramide 4 c26,,C44H89NO6,ceramide 4 c26,exact_normalized,MEDIUM (yeast_exact_only)
m1675[C_en],C_en,phosphatidate_ActiveX VT_ERROR:,phosphatidate,,C5H7O8PR2,phosphatidate,exact_normalized,MEDIUM (yeast_exact_only)
m1686[C_vm],C_vm,phosphatidate_ActiveX VT_ERROR:,phosphatidate,,C5H7O8PR2,phosphatidate,exact_normalized,MEDIUM (yeast_exact_only)
m1688[C_gm],C_gm,phosphatidate_ActiveX VT_ERROR:,phosphatidate,,C5H7O8PR2,phosphatidate,exact_normalized,MEDIUM (yeast_exact_only)
m1689[C_cy],C_cy,1-acyl-sn-glycerol 3-phosphate_ActiveX VT_ERROR:,1 acyl sn glycerol 3 phosphate,,C4H6O7PR,1 acyl sn glycerol 3 phosphate,exact_normalized,MEDIUM (yeast_exact_only)
m1691[C_vm],C_vm,1-acyl-sn-glycerol 3-phosphate_ActiveX VT_ERROR:,1 acyl sn glycerol 3 phosphate,,C4H6O7PR,1 acyl sn glycerol 3 phosphate,exact_normalized,MEDIUM (yeast_exact_only)
m1693[C_gm],C_gm,1-acyl-sn-glycerol 3-phosphate_ActiveX VT_ERROR:,1 acyl sn glycerol 3 phosphate,,C4H6O7PR,1 acyl sn glycerol 3 phosphate,exact_normalized,MEDIUM (yeast_exact_only)
m1705[C_lp],C_lp,phosphatidate_ActiveX VT_ERROR:,phosphatidate,,C5H7O8PR2,phosphatidate,exact_normalized,MEDIUM (yeast_exact_only)
m1968[C_er],C_er,N-acetyl-D-glucosaminyldiphosphodolichol,n acetyl d glucosaminyldiphosphodolichol,,C28H51NO12P2,n acetyl d glucosaminyldiphosphodolichol,exact_normalized,MEDIUM (yeast_exact_only)
m1984[C_er],C_er,Acyl-coA,acyl coa,,C22H31N7O17P3SR,acyl coa,exact_normalized,MEDIUM (yeast_exact_only)
m1993[C_cy],C_cy,phosphatidate,phosphatidate,,C5H7O8PR2,phosphatidate,exact_normalized,MEDIUM (yeast_exact_only)
m378[C_em],C_em,phosphatidate_ActiveX VT_ERROR:,phosphatidate,,C5H7O8PR2,phosphatidate,exact_normalized,MEDIUM (yeast_exact_only)
